country,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Liechtenstein,,,23.3717669055781,27.7178934400986,30.438620521718,33.0936550437739,33.9082852554571,73.5164382755984,74.2034046268005,79.268503573899,82.1688812687527,90.7758180683945,95.7180259564765,97.8418875097842,98.5235346358792,101.834508594094
Malta,3.21108105539243,4.51878548859639,5.7268274580674,9.49590098624219,28.7967389663328,59.8920314399644,68.8286214337566,71.6406406332219,75.1669396806841,79.1556212511758,84.3552655904876,89.3172211881495,93.1609436979703,101.652858725495,109.37877387369,124.863409555946
France,4.24182410665827,9.98328156864635,19.163829242881,36.4815770376323,49.2014308070267,62.2949174551176,64.5514056814599,69.2909749726355,73.508964375629,78.8373025825446,84.1701347215817,89.6565911614354,93.3550427448122,95.4443422563651,100.657094930805,105.028215521193
Poland,0.564859313050865,2.11570383647282,5.02533726107362,10.3205737409493,17.6150639369122,26.1444865668186,36.3544083667026,45.5551421847618,60.5002853428098,76.4217488046652,96.2670587338386,108.376621985756,114.934936418949,117.143885884442,122.665120206413,128.463055213343
Japan,21.5571157457006,30.5807119490089,37.7477431449629,45.2838850106761,53.1213882625647,59.4304589994999,64.3549191268374,68.6734432864464,72.4263059526151,76.336539799247,78.9358056019846,84.8425780856582,87.2379865318673,91.8955441967376,97.4325116536079,102.665020180163
Barbados,2.37778963581936,3.02276979719942,4.51227903933579,7.61326745589636,10.6414315673,19.8033498389214,36.1563614854936,51.9694568078132,74.1397385412692,76.22466294274,87.4777726129077,94.8376028098285,106.05555147329,123.578735105408,128.072190860166,127.01177329561
Cyprus,8.10521747395156,10.3246897586101,12.8217439615708,16.3855585713298,23.1448519761601,32.6948398409955,42.6517082808606,55.2783493999804,64.7991840961759,75.7826648666133,82.7824266984142,92.9714861428731,94.4046477208471,89.6419260265958,93.6958103451557,97.7054606811611
Dominica,0.647617442121825,0.784800835615278,0.923046336926114,1.14280816536434,1.7223561832587,11.1019914467148,17.5654030966364,34.3728323699422,60.5584263320162,75.4443235400798,104.075691411936,130.05231317766,133.511348464619,145.01928682901,155.802352524462,164.019209456963
Malaysia,7.15542289014285,9.18210450070493,9.85554989309416,13.0752120305245,21.8738753159365,30.8162603531264,36.9279246290167,44.3891393614668,57.0955113612096,74.8843660102602,73.2096287082134,86.3068923300909,100.767187617719,107.852066207515,119.217561821818,127.035120294933
Jamaica,2.19908301779873,2.63047024812395,3.10331353239526,5.64455944735014,14.2138664914814,22.9551579855171,47.4101740767595,59.5691518889425,68.9539595714206,73.8896494065414,84.3608395695785,99.0878325252986,100.111789880608,108.249932070541,116.086633890929,108.121404164545
Virgin Islands (U.S.),,14.8281326747171,23.1198905041986,27.696739170575,32.2547944448028,37.7094715155529,41.4474952493735,45.1787907113139,58.7535462615539,73.4251986503662,,,,,,
Bahamas,1.74423728395323,2.15864659821668,2.77797853192507,5.41212566499313,10.5909269580818,20.0775183517569,39.8164165584808,39.4028388045171,59.0988088543206,71.3215263121638,78.0665049712096,113.725555781926,107.309514747004,106.045076516589,124.936055786769,86.0629767034588
South Africa,2.25959283701958,4.28238004700122,7.668404141214,11.7542193637306,18.6303154709589,23.7653679830504,29.7769844685709,36.1559228677077,44.1254909566988,71.0566596587054,82.0634180433666,86.6049708960208,91.2420543631109,93.3358736920973,100.477098663736,126.833190454423
Seychelles,1.38156674702625,2.94746507509674,6.74034727723737,20.9690271173371,32.9935820041939,46.064495064922,55.4699900793651,60.2853294146461,65.7973399813629,70.4153844311664,83.449004045509,90.9420417769932,109.24177262528,128.565619953763,135.9104463811,145.713003142301
Trinidad and Tobago,0.751388460898876,1.34382889310523,2.05299532697152,3.00410841490717,12.527301405974,19.7466078420185,20.1887557852941,25.7530827332483,49.6854928423298,70.2531424235928,115.02418173639,113.889408541479,135.692390912369,138.163383966314,141.206814937401,135.566531733947
Maldives,0.007875255945818,0.498065652002687,0.608639958767106,1.08935219657483,2.79538567392291,6.8015162478266,14.8437998200279,23.185948755516,38.9177560586691,68.9676195637447,90.5263193050541,103.294469573926,141.606529879856,146.843994495395,156.497142947592,165.723363773545
United States,16.348935820428,20.2874176203974,25.0771064273127,30.80808942269,38.7537915097015,45.0016984726648,49.1563501538968,55.1466051506882,62.8501119079468,68.6273825426008,76.6446034137493,82.471958442443,85.675203095151,89.1491163403411,89.8564509528051,105.913600948086
Serbia,,,,,,,,,47.795755646506,67.8489956651028,82.0099803557881,104.384030950256,118.667801680931,122.133695844762,122.080353509641,125.392874001382
St. Vincent and the Grenadines,0.259141685716666,0.320432676724178,0.695042953654536,1.31641157329724,2.18831969302351,6.93787215127747,9.22977346278317,58.0606161286155,66.3191054289557,64.9349455197462,80.4586936961751,101.312121767834,119.161369506677,110.840220007504,120.540916283281,120.52210487816
Chile,2.1835762699828,2.76104414287888,6.41158064525138,14.8421267766651,22.0594338974126,32.6885261660322,39.5610337081414,45.5411984353431,57.4092797830725,64.83713442368,75.6029218376194,83.8994101815556,88.0980683444758,97.0186256132659,116.002126484952,129.708078247665
Brunei,14.6452750447528,14.7673647801632,15.7355804955544,20.6473249200698,29.0487897356866,42.7710050605955,44.9806051202483,50.8542854767168,56.8782080276898,64.1380468876937,81.3897282598422,96.9868587306927,103.681357958902,105.370855738483,109.070490323874,109.169626888835
Turkey,1.34789759041401,2.64844323721793,5.67861217024711,12.95450328632,25.3558810446908,30.324460576398,35.6371041756228,42.0376444881583,51.6205406077022,63.996075851223,76.2525371926356,88.5460329222079,92.8097126307373,87.3804648183818,84.904001349785,88.7046487870466
Ukraine,0.05908614647893,0.113620928561874,0.231648035378973,0.438695731844841,1.67415422204201,4.59170190752127,7.68794076527728,13.6397478779693,29.05325725406,63.9620379598664,105.332359256287,119.355713707213,121.068837289883,120.185503623427,118.639224337599,122.962291807645
St. Lucia,0.939458603427682,1.05904857723443,1.2404355887499,1.4819205690575,1.59126206176643,1.69962041810662,8.91825709852889,61.0903705532072,61.7242454058216,63.9273937377099,63.2327756553814,87.0889195641999,102.591077456864,110.019830915353,113.740409830892,122.99765967599
Romania,0.075329950723134,0.894707046650381,2.87405707573409,6.08319731594345,11.2609755645843,17.3987094212233,23.2185809308629,32.1085492668358,46.7624836211638,61.3370014508251,73.6736745960353,94.2485906370678,113.341902913744,116.542437535691,113.560358796746,109.159636405112
Saudi Arabia,1.01528403398042,1.74582988510533,3.25768517668884,4.27310531840796,6.86386657883882,12.2265343801652,23.332936683062,32.4084524251881,39.5272512212258,58.9164995501873,79.4372904287017,111.354313113272,137.579763300896,167.347455276855,187.861459629644,191.24269417073
Jordan,0.534646598443221,0.977637653886705,1.76054427812964,2.49220193787184,8.05761890793139,17.6296767287379,24.3998846024266,26.002895940386,31.1707289829185,58.736406313588,79.0356238092838,84.1938948481705,90.8464285567739,99.8136946544008,106.994619722212,118.204758830293
New Caledonia,1.05578220135714,2.60625842972679,6.40131953580615,12.2421688601555,23.5642676857028,31.4555795362969,36.4064967393431,43.4517843719798,51.2382402379674,58.1032542842306,65.964183576195,73.8094640181479,80.8831218018122,84.8906439854192,88.0180970223622,89.2055443928168
Tunisia,0.071796151947167,0.083554606798962,0.420905346916106,0.590208948579362,1.26018956829743,4.07699068963101,5.96142069174543,19.7232513695488,38.0649233152323,57.3109429532388,73.2598330656773,77.4169210832222,83.9454589368445,94.5194585401051,106.042133267894,116.930237396306
Argentina,1.89026515147329,5.62530307704098,7.39141680163872,10.533006610186,17.567899928485,18.0734814078644,17.4381408777147,20.636775878773,35.242850314618,57.2796110066359,80.7464922092515,102.625744937534,117.108387513233,131.002357068848,132.880086040969,134.921114445462
San Marino,8.80024713287253,9.01177282662883,18.9562635605801,36.0815035215246,53.7805465939852,57.5609047670915,59.3217939187993,58.2497501120188,57.4826727676469,56.598792119072,56.6062302659419,56.4388686425646,78.2165523430989,95.5036831531618,96.9968922432929,111.753584370569
"Macedonia, FYR",0.053616232441064,0.623400776805174,1.51008530398453,2.43521565797745,5.76121240899491,11.0747368029463,18.0662676072009,38.267715215214,48.4791487030008,55.4929103399278,61.8592612859633,87.6221359993203,95.8590983588986,94.4790591456795,104.506632410657,109.362161701212
Oman,0.664089997476458,2.33843921977314,4.33059401167228,5.35540883013971,7.15496189982788,14.1718194905077,20.1053118841934,25.4284414120576,33.9010131453251,54.8762919271787,72.9948366270246,97.6109905290008,122.085482428081,146.399578782961,165.543238206822,168.97410356816
Panama,0.256249091688488,0.842198772400392,3.0205650102206,8.03162879754562,13.8830685836801,15.7716085752174,17.1333960874165,22.1529867399974,39.5964888407147,54.0014408701299,66.0007958518574,89.8516506982329,114.935004889201,175.241377497508,188.987437514573,203.883976887224
Gabon,0.608112035699754,0.827226370931788,0.822964914901998,0.736703947924452,9.71444392094386,11.8749332035007,21.6413851031978,22.7706750138901,36.4066030289301,53.7443944061882,64.2708375083739,82.1136286848403,89.6360088532796,92.9263614422604,106.943843854017,117.320249083924
Canada,11.8239224896629,14.0534874055627,17.7525568530116,22.7457815298621,28.4569606811671,34.3879576465914,37.9518688338403,42.0487335045485,47.0203660482278,52.7100402922083,57.4632605183196,61.4889002246209,66.288197589327,70.7099724404557,70.6636669933406,75.2799082352173
Puerto Rico,8.81495638204182,9.75893048503746,15.3234840318728,21.3967913752368,34.5562930331828,42.6529335007496,43.1942850054041,44.9341655536509,48.7274590342247,52.7094759208522,58.2769274153302,64.5750628617806,67.6669288831202,72.256962427296,78.2603616048935,82.9889313276693
Mauritius,1.81172899600851,3.65755668503116,5.15130158822141,8.6214931572771,15.0498274704501,22.5457861967311,28.4644145675241,37.4843749240026,43.9719540263104,52.2643470179241,60.9777181996457,72.795986359895,80.4845429641648,84.1390854352981,91.6660765472162,99.0438491557815
Colombia,1.40883878829253,3.34814345996699,4.68332777519057,5.02916004190304,5.67546418551819,8.07781103227979,11.189879696586,14.8236814635437,24.5379339150891,50.7660541947435,68.1122921860632,76.5261268027718,91.9098639370381,92.3458456385594,96.0747505321381,98.4514201541219
Monaco,16.1266238614305,21.192676752811,33.3120427360353,37.5430539609644,39.6486932756363,40.5293584221265,42.0870943097252,42.6945616170767,44.6403265121025,48.7549631310267,51.9097172994584,57.7985550361241,62.2594521168214,65.013992141787,66.1281667466885,85.8102577130437
Albania,0.073893279470487,0.106730420304395,0.181875047295632,0.358248785686972,0.969804574172748,12.7592385465809,27.5424318510909,35.4073340176605,40.3086729297719,48.7059647335922,60.5043643380376,73.270708418713,58.4533146916276,77.1673897171787,84.0241376856733,96.3933945027158
French Polynesia,1.23494358955726,2.41557505107559,4.82609056119666,9.39014781700152,16.7902439845479,27.8734965706902,21.3265306122449,24.1990360650193,38.1524667954312,47.0828265390199,58.8875673623406,66.9027530658708,70.7436654431638,77.8007732969722,79.7336425817317,81.389963364344
Venezuela,2.58541974380655,4.66810244531659,8.57978142221138,15.8448515886549,22.3718744434931,26.0878828405061,25.884568622045,27.2575920021116,32.1411523987372,46.8634256923967,69.2604196121151,86.3253882890298,97.7078914949077,98.6102937971795,96.2052090181121,97.7752677753911
Thailand,3.06120936777426,3.61688707434264,3.20620291962831,3.74852109817681,4.83888622709682,11.815543743733,15.7349764972755,33.3915993655649,41.4448989797713,46.6825324947795,60.5311688650087,78.1368245957299,90.5800379451673,95.9919015659187,103.619584980428,113.161025858492
Suriname,0.54673497836595,0.50406623850057,1.32276646907012,3.80088571496832,8.79262112131195,18.3764899214458,22.5694184099373,34.6183237469186,43.1474993714976,46.6228314379904,63.3772550914712,74.4899399375853,127.577048378266,146.945433490875,169.641427580265,178.875333148225
Ecuador,0.516044700681297,1.07444323320739,2.03027094750604,3.15425642079296,3.90613286018179,6.84472224267043,12.2253486708155,18.4644477760688,26.8317749233488,46.5227541972898,62.2084431719506,71.7702327721981,83.1236759020939,92.8492565262468,102.184560675447,104.545598663035
Brazil,1.52008983383996,2.7266870534166,4.34934802114918,8.74318019843527,13.2940344286007,16.2518287058415,19.4551365877661,25.5312895271486,35.6794447735628,46.3528917005172,53.1600191704314,63.741482197369,78.6461612319938,90.0193633409662,104.102440531496,123.175859121497
Grenada,0.565998391372993,0.965963637803225,1.39301909720507,1.98512145549263,4.23553515494179,6.30486282450777,7.40824293308747,41.3846078575273,42.2751451856913,45.6109953861429,44.8314683075012,49.7068725330857,57.8675896377853,109.920554867095,116.709255696881,
Mexico,1.08876807400017,1.82396214135499,3.45299819953072,7.8482848424417,14.0835706075397,21.4720784835672,25.2628050625604,28.9672337168102,36.5588604476534,44.2590939010538,51.3704529610301,60.9403068297835,68.0696045721431,74.2578525867592,80.5504308132367,82.3787374565568
Bosnia and Herzegovina,0.045376552785636,0.267410185832252,0.723532699189865,1.46072207823653,2.52825217437917,11.8641169361616,19.8305932678528,28.4131749744958,37.2205170734958,42.1678544914429,49.921355790213,64.8426290951603,84.2315278297393,86.4520449305316,82.7156849369533,84.5173321024202
Belarus,0.063918134808696,0.08003424411199,0.119666344045022,0.232074778397624,0.490693302021016,1.3819343224297,4.64330238032604,11.2725169281847,22.6829624062131,41.724757666638,60.9604981086392,71.5443758102709,83.9609573284549,100.520796146457,107.68573885398,111.877880725452
Algeria,0.040643550676168,0.059501588025572,0.06065978843079,0.239210525528913,0.281654834816481,0.322765829452989,1.4319896209663,4.53390797902152,15.0710173043329,41.5384592931093,62.8832742162978,81.2901232665435,78.5158882756805,93.6471149437679,92.4212607527282,98.9875901999747
Morocco,0.157160474524939,0.268768085283991,0.415362719603297,1.29787873288583,8.13385477061349,16.3812886888361,21.045306312424,24.7221762778736,31.0379323926028,40.7759019807306,52.1291355987431,64.5873124737937,72.8436640535163,80.0099315545257,100.096606059225,113.264872955309
Philippines,1.35395282706393,1.85513356666211,2.34148079199212,3.7663480309467,8.34867665507286,15.3982866884464,19.0784095669307,27.352617123073,39.2389452823126,40.6551111713877,49.2088430089556,64.6848427995329,75.5404189711085,82.4254079115546,85.6690567884697,91.9920838805453
El Salvador,0.401802464791347,0.687828250332286,2.33262567800429,8.65093669632051,12.518347121907,14.3777760308493,14.8427424250192,19.1359840013927,30.3971176978738,39.8603060599986,63.4063584299382,100.598488608506,113.39518483014,122.820218676542,124.339491421999,125.845224023608
Dominican Republic,1.02482157152136,1.72870918196669,2.51521980424473,5.0180393759213,8.21035509098208,14.5547185413767,19.1925861889951,23.2553801399338,27.7554514173932,39.1103689045231,49.0053132034196,57.8355602639291,74.604467608103,88.0876326395458,89.5788893679261,87.2178016684465
Guyana,0.164611311540625,0.191848363053842,0.199053196761484,0.384827804936732,5.43308493645487,10.2430619302705,10.7586472288353,18.6192934507541,23.0800155430034,37.7050124960636,53.452996775448,71.8300207447858,59.5771829404267,68.1970961988704,73.6119486860713,68.6150203692926
Kazakhstan,0.062357820604989,0.072342442074705,0.194560316285635,0.328197713197898,1.31914178360539,3.90665222324087,6.89184547046375,8.89580583608395,16.255364536016,35.5791548863171,50.7808770877697,79.6239464314411,95.2426982605621,107.714769230614,121.066739579844,142.549863482808
